Rows,Id,Flag0,IsLocal,IsWeaponLocal,Unknown0,Flag3,Text,Flag5,Flag6,MainHandAlias_StatsKey,OffHandAlias_StatsKey,Flag7,Unknown1,Unknown2,Key0,Flag8,Flag9
0,level,True,False,False,3,False,Level,False,False,-1,-1,False,1043633784,[],18,1,False
1,item_drop_slots,True,False,False,3,False,Item Drop Slots,False,False,-1,-1,False,-1300918419,[],18374403900871474942,0,False
2,main_hand_weapon_type,True,False,False,3,False,Main Hand Weapon Type,True,False,-1,-1,True,356082681,[],18374403900871474942,0,False
3,off_hand_weapon_type,True,False,False,3,False,Off Hand Weapon Type,True,False,-1,-1,True,501678916,[],18374403900871474942,0,False
4,current_endurance_charges,True,False,False,3,False,Endurance Charges,True,False,-1,-1,True,-2122390594,[],18374403900871474942,0,False
5,current_frenzy_charges,True,False,False,3,False,Frenzy Charges,True,False,-1,-1,True,623963944,[],18374403900871474942,0,False
6,current_power_charges,True,False,False,3,False,Power Charges,True,False,-1,-1,True,489142904,[],18374403900871474942,0,False
7,cannot_have_life_leeched_from,True,False,False,4,False,Cannot be Life-Leeched,False,False,-1,-1,False,-547445160,[],18,0,False
8,cannot_have_mana_leeched_from,True,False,False,4,False,Cannot be Mana-Leeched,False,False,-1,-1,False,-544265574,[],18374403900871474942,0,False
9,monster_slain_experience_+%,True,False,False,1,False,Experience From Slain Monsters,False,False,-1,-1,False,-412187701,[],18374403900871474942,0,False
10,monster_dropped_item_rarity_+%,True,False,False,1,False,Rarity of Items Dropped by Monsters,False,False,-1,-1,False,-1176759949,[],18374403900871474942,0,False
11,monster_dropped_item_quantity_+%,False,False,False,1,False,Quantity of Items Dropped by Monsters,False,False,-1,-1,False,-239722763,[],18374403900871474942,0,False
12,local_flask_life_to_recover,True,True,False,3,False,Local Flask Life to Recover,False,False,-1,-1,False,-576125868,[],18374403900871474942,0,False
13,local_flask_life_to_recover_+%,True,True,False,1,False,Local Flask Life to Recover +%,False,False,-1,-1,False,-1198959115,[],18374403900871474942,0,False
14,local_flask_mana_to_recover,True,True,False,3,False,Local Flask Mana to Recover,False,False,-1,-1,False,1835370919,[],18374403900871474942,0,False
15,local_flask_mana_to_recover_+%,True,True,False,1,False,Local Flask Mana to Recover +%,False,False,-1,-1,False,395902594,[],18374403900871474942,0,False
16,local_flask_recovery_speed_+%,True,True,False,1,False,Local Flask Recovery Speed +%,False,False,-1,-1,False,1556748148,[],18374403900871474942,0,False
17,local_flask_deciseconds_to_recover,True,True,False,3,False,Time to Recover,False,False,-1,-1,False,97193766,[],18374403900871474942,0,False
18,local_extra_max_charges,False,True,False,3,False,Local Extra Charges,False,False,-1,-1,False,-383728497,[],18374403900871474942,0,False
19,shield_block_%,True,False,False,1,False,Shield Block Chance,False,False,-1,-1,True,-1873459806,[],11,0,False
20,old_do_not_use_spell_block_%_from_assumed_block_value,False,False,False,1,False,,False,False,-1,-1,False,1484398156,[],18374403900871474942,0,False
21,block_while_dual_wielding_%,False,False,False,1,False,Blocking while Dual Wielding,False,False,-1,-1,False,298807534,[],11,0,False
22,block_recovery_+%,True,False,False,1,False,Block Recovery Increase,False,False,-1,-1,True,-1638902486,[],11,0,False
23,shield_armour_+%,True,False,False,1,False,Shield Armour,False,False,-1,-1,False,1669549715,[],9,0,False
24,damage_+%,True,False,False,1,False,All Damage,False,False,-1,-1,True,-1168998803,[],1,0,False
25,spell_damage_+%,True,False,False,1,False,Spell Damage +%,False,False,-1,-1,True,78851980,[],1,0,False
26,physical_damage_+%,True,False,False,1,False,Physical Damage +%,False,False,-1,-1,True,-453783483,[],1,0,False
27,local_physical_damage_+%,False,True,True,1,False,Local Physical Damage +%,False,False,800,822,False,-1544785049,[],18374403900871474942,0,False
28,global_minimum_added_physical_damage,False,False,False,3,False,Minimum Added Physical Damage,False,False,-1,-1,True,821215114,[],18374403900871474942,0,False
29,global_maximum_added_physical_damage,False,False,False,3,False,Maximum Added Physical Damage,False,False,-1,-1,False,1816224805,[],18374403900871474942,0,False
30,attack_minimum_added_physical_damage,False,False,False,3,False,Minimum Added Physical Damage,False,False,-1,-1,False,-1987301089,[],18374403900871474942,0,False
31,attack_maximum_added_physical_damage,False,False,False,3,False,Maximum Added Physical Damage,False,False,-1,-1,False,1877497836,[],18374403900871474942,0,False
32,local_minimum_added_physical_damage,False,True,True,3,False,Local Minimum Added Physical Damage,False,False,801,823,False,1855777478,[],18374403900871474942,0,False
33,local_maximum_added_physical_damage,False,True,True,3,False,Local Maximum Added Physical Damage,False,False,802,824,False,2141103287,[],18374403900871474942,0,False
34,physical_axe_damage_+%,False,False,False,1,False,Axe Damage,False,False,-1,-1,False,-1256660353,[],1,0,False
35,physical_staff_damage_+%,False,False,False,1,False,Staff Damage,False,False,-1,-1,False,932143818,[],1,0,False
36,physical_claw_damage_+%,False,False,False,1,False,Claw Damage,False,False,-1,-1,False,140443962,[],1,0,False
37,physical_dagger_damage_+%,False,False,False,1,False,Dagger Damage,False,False,-1,-1,False,-689652613,[],1,0,False
38,physical_mace_damage_+%,False,False,False,1,False,Mace Damage,False,False,-1,-1,False,1862394874,[],1,0,False
39,physical_bow_damage_+%,False,False,False,1,False,Bow Damage,False,False,-1,-1,False,204052327,[],1,0,False
40,physical_sword_damage_+%,False,False,False,1,False,Sword Damage,False,False,-1,-1,False,2133884384,[],1,0,False
41,physical_wand_damage_+%,False,False,False,1,False,Wand Damage,False,False,-1,-1,False,1844590324,[],1,0,False
42,fire_damage_+%,True,False,False,1,False,Fire Damage +%,False,False,-1,-1,True,191057191,[],1,0,False
43,global_minimum_added_fire_damage,False,False,False,3,False,Minimum Added Fire Damage,False,False,-1,-1,False,2034740550,[],18374403900871474942,0,False
44,global_maximum_added_fire_damage,False,False,False,3,False,Maximum Added Fire Damage,False,False,-1,-1,False,-902547218,[],18374403900871474942,0,False
45,attack_minimum_added_fire_damage,True,False,False,3,False,Attack Minimum Added Fire Damage,False,False,-1,-1,True,-1181478971,[],18374403900871474942,0,False
46,attack_maximum_added_fire_damage,True,False,False,3,False,Attack Maximum Added Fire Damage,False,False,-1,-1,True,501099642,[],18374403900871474942,0,False
47,local_minimum_added_fire_damage,False,True,True,3,False,Local Minimum Added Fire Damage,False,False,803,825,False,318629524,[],18374403900871474942,0,False
48,local_maximum_added_fire_damage,False,True,True,3,False,Local Maximum Added Fire Damage,False,False,804,826,False,928714545,[],18374403900871474942,0,False
49,cold_damage_+%,True,False,False,1,False,Cold Damage +%,False,False,-1,-1,True,78179886,[],1,0,False
50,global_minimum_added_cold_damage,False,False,False,3,False,Minimum Added Cold Damage,False,False,-1,-1,True,-619139700,[],18374403900871474942,0,False
51,global_maximum_added_cold_damage,False,False,False,3,False,Maximum Added Cold Damage,False,False,-1,-1,True,-271567038,[],18374403900871474942,0,False
52,attack_minimum_added_cold_damage,True,False,False,3,False,Attack Minimum Added Cold Damage,False,False,-1,-1,True,171791935,[],18374403900871474942,0,False
53,attack_maximum_added_cold_damage,True,False,False,3,False,Attack Maximum Added Cold Damage,False,False,-1,-1,True,-939811086,[],18374403900871474942,0,False
54,local_minimum_added_cold_damage,False,True,True,3,False,Local Minimum Added Cold Damage,False,False,805,827,False,-255408318,[],18374403900871474942,0,False
55,local_maximum_added_cold_damage,False,True,True,3,False,Local Maximum Added Cold Damage,False,False,806,828,False,472353268,[],18374403900871474942,0,False
56,lightning_damage_+%,True,False,False,1,False,Lightning Damage +%,False,False,-1,-1,True,-1639944867,[],1,0,False
57,global_minimum_added_lightning_damage,False,False,False,3,False,Minimum Added Lightning Damage,False,False,-1,-1,True,-1577166020,[],18374403900871474942,0,False
58,global_maximum_added_lightning_damage,False,False,False,3,False,Maximum Added Lightning Damage,False,False,-1,-1,True,-1369359538,[],18374403900871474942,0,False
59,attack_minimum_added_lightning_damage,True,False,False,3,False,Attack Minimum Added Lightning Damage,False,False,-1,-1,True,365867665,[],18374403900871474942,0,False
60,attack_maximum_added_lightning_damage,True,False,False,3,False,Attack Maximum Added Lightning Damage,False,False,-1,-1,True,513324754,[],18374403900871474942,0,False
61,local_minimum_added_lightning_damage,False,True,True,3,False,Local Minimum Added Lightning Damage,False,False,807,829,False,-1727629303,[],18374403900871474942,0,False
62,local_maximum_added_lightning_damage,False,True,True,3,False,Local Maximum Added Lightning Damage,False,False,808,830,False,2119574765,[],18374403900871474942,0,False
